Implemented,Number of Impacted Resources,Azure Service / Well-Architected,Recommendation Source,Azure Service Category / Well-Architected Area,Azure Service / Well-Architected Topic,Category,Recommendation,Impact,Best Practices Guidance,Read More,Recommendation Id
true,0,Azure Service,APRL,Microsoft.Web,sites,HighAvailability,Enable auto heal for Functions App,Low,"Auto Heal allows you to mitigate your apps when it runs into unexpected situations like HTTP server errors, resource exhaustion, etc. You can configure different triggers based on your need and choose to recycle the app to recover it from a bad state.
",https://azure.github.io/AppService/2018/09/10/Announcing-the-New-Auto-Healing-Experience-in-App-Service-Diagnostics.html,c6c4b962-5af4-447a-9d74-7b9c53a5dff5
false,2,Azure Service,AZQR,Microsoft.Web,sites,Security,App Service should have VNET Route all enabled for VNET integration,Medium,App Service should have VNET Route All enabled to ensure all outbound traffic goes through the integrated virtual network.,https://learn.microsoft.com/en-us/azure/app-service/overview-vnet-integration,app-010
false,2,Azure Service,AZQR,microsoft.web,sites,MonitoringAndAlerting,App should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/app-service/troubleshoot-diagnostic-logs#send-logs-to-azure-monitor,app-001
true,0,Azure Service,AZQR,Microsoft.Web,sites,Security,Logic App should use HTTPS only,High,Logic App should enforce HTTPS-only traffic to ensure all communications are encrypted and secure.,https://learn.microsoft.com/azure/app-service/configure-ssl-bindings#enforce-https,logics-007
true,0,Azure Service,AZQR,Microsoft.Web,sites,HighAvailability,Logic App should avoid using Client Affinity,Medium,Logic App should disable Client Affinity (ARR Affinity) for better scalability and reliability.,https://learn.microsoft.com/en-us/azure/well-architected/service-guides/azure-app-service/reliability#checklist,logics-013
true,0,Azure Service,AZQR,Microsoft.Web,sites,HighAvailability,Function should avoid using Client Affinity,Medium,Function App should disable Client Affinity (ARR Affinity) for better scalability and reliability. Client affinity is generally not needed for Function Apps.,https://learn.microsoft.com/en-us/azure/well-architected/service-guides/azure-app-service/reliability#checklist,func-013
true,0,Azure Service,AZQR,Microsoft.Web,sites,Security,Function should use HTTPS only,High,Function App should enforce HTTPS-only traffic to ensure all communications are encrypted and secure.,https://learn.microsoft.com/azure/app-service/configure-ssl-bindings#enforce-https,func-007
true,0,Azure Service,AZQR,Microsoft.Web,sites,Security,Logic App should use VNET integration,Medium,Logic App should use virtual network integration to securely access resources in Azure virtual networks.,https://learn.microsoft.com/en-us/azure/app-service/overview-vnet-integration,logics-009
false,2,Azure Service,APRL,Microsoft.Web,sites,OtherBestPractices,Deploy to a staging slot,Low,"Create a deployment slot for staging to deploy updates, verify them, and ensure all instances are warmed up before production swap, reducing bad update chances. An LKG slot allows easy rollback to a previous good deployment if issues arise later, enhancing reliability.
",https://learn.microsoft.com/azure/app-service-web/web-sites-staged-publishing,a1d91661-32d4-430b-b3b6-5adeb0975df7
true,0,Azure Service,AZQR,Microsoft.Web,sites,Security,App Service should use HTTPS only,High,App Service should enforce HTTPS-only traffic to ensure all communications are encrypted and secure.,https://learn.microsoft.com/azure/app-service/configure-ssl-bindings#enforce-https,app-007
true,0,Azure Service,AZQR,Microsoft.Web,sites,Security,Function should have VNET Route all enabled for VNET integration,Medium,Function App should have VNET Route All enabled to ensure all outbound traffic goes through the integrated virtual network.,https://learn.microsoft.com/en-us/azure/app-service/overview-vnet-integration,func-010
false,2,Azure Service,AZQR,Microsoft.Web,sites,HighAvailability,App Service should avoid using Client Affinity,Medium,App Service should disable Client Affinity (ARR Affinity) for better scalability and reliability. Client affinity can cause session stickiness issues in multi-instance deployments.,https://learn.microsoft.com/en-us/azure/well-architected/service-guides/azure-app-service/reliability#checklist,app-015
true,0,Azure Service,AZQR,Microsoft.Web,sites,Security,Logic App should have VNET Route all enabled for VNET integration,Medium,Logic App should have VNET Route All enabled to ensure all outbound traffic goes through the integrated virtual network.,https://learn.microsoft.com/en-us/azure/app-service/overview-vnet-integration,logics-010
true,0,Azure Service,AZQR,Microsoft.Web,sites,Security,Function should use VNET integration,Medium,Function App should use virtual network integration to securely access resources in Azure virtual networks.,https://learn.microsoft.com/en-us/azure/app-service/overview-vnet-integration,func-009
false,1,Azure Service,APRL,Microsoft.Web,sites,OtherBestPractices,Store configuration as app settings for Web Sites,Medium,"Use app settings for configuration and define them in Resource Manager templates or via PowerShell to facilitate part of an automated deployment/update process for improved reliability.
",https://learn.microsoft.com/azure/app-service-web/web-sites-configure,0b80b67c-afbe-4988-ad58-a85a146b681e
N/A,0,Azure Service,AOR,Microsoft.Web,connections,Governance,API Connections not related to any Logic App,Medium,"API Connections not related to any Logic App.
",https://learn.microsoft.com/en-us/azure/logic-apps/logic-apps-overview,2d3e4f5a-6b7c-8d9e-0f1a-2b3c4d5e6f7a
false,1,Azure Service,APRL,Microsoft.App,managedenvironments,HighAvailability,Deploy zone redundant Container app environments,High,"To take advantage of availability zones, you must enable zone redundancy when you create a Container Apps environment. The environment must include a virtual network with an available subnet. To ensure proper distribution of replicas, set your app's minimum replica count to three.
",https://learn.microsoft.com/azure/reliability/reliability-azure-container-apps,f4201965-a88d-449d-b3b4-021394719eb2
false,1,Azure Service,AZQR,microsoft.app,managedenvironments,MonitoringAndAlerting,Container Apps Environment should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/container-apps/log-options#diagnostic-settings,cae-001
false,1,Azure Service,AZQR,Microsoft.App,managedenvironments,Security,Container Apps Environment should have private endpoints enabled,High,Container Apps Environment should have private endpoints enabled,https://learn.microsoft.com/azure/container-apps/networking,cae-004
N/A,0,Azure Service,AOR,Microsoft.Network,frontDoorWebApplicationFirewallPolicies,Governance,Front Door WAF Policy without associations,Medium,"Front Door WAF Policy without associations.
",https://learn.microsoft.com/en-us/azure/web-application-firewall/afds/afds-overview,0d1e2f3a-4b5c-6d7e-8f9a-0b1c2d3e4f5a
false,4,Azure Service,AZQR,Microsoft.Resources,,Governance,Resource should have tags,Low,"Resource should have tags applied for proper resource management, cost tracking, and organization. Tags help categorize resources and provide metadata for governance and operational purposes.
",https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/tag-resources?tabs=json,resources-001
false,5,Azure Service,AZQR,Microsoft.Resources,,Governance,Resource should comply with naming conventions,Low,Resource should comply with naming conventions,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-best-practices/resource-abbreviations,resources-002
N/A,0,Azure Service,APRL,Microsoft.Network,vpnSites,DisasterRecovery,Configure diverse VPN Site links to different VPN concentrators on-premises,Medium,"Deploying active-active VPN concentrators leverages the High Availability capabilities of the VPN Gateway on Virtual Hubs using a fully-meshed topology with four IPSec tunnels.
",https://learn.microsoft.com/azure/virtual-wan/disaster-recovery-design#multi-link-topology,02bdbdb8-d138-4090-951c-23e45b8700f7
N/A,0,Azure Service,APRL,Microsoft.Network,applicationGateways,OtherBestPractices,A minimum subnet size of /24 is recommended for Application Gateway v2 subnets.,High,"Application Gateway (Standard_v2 or WAF_v2 SKU) can support up to 125 instances (125 instance IP addresses + 1 private frontend IP configuration + 5 Azure reserved). A minimum subnet size of /24 is recommended.
",https://learn.microsoft.com/azure/application-gateway/configuration-infrastructure#size-of-the-subnet,8364fd0a-7c0e-e240-9d95-4bf965aec243
N/A,0,Azure Service,AZQR,microsoft.network,applicationgateways,MonitoringAndAlerting,Application Gateway: Monitor and Log the configurations and traffic,Low,,https://learn.microsoft.com/en-us/azure/application-gateway/application-gateway-diagnostics#diagnostic-logging,agw-005
N/A,0,Azure Service,AOR,Microsoft.Network,applicationGateways,Governance,Application Gateways without backend targets,Medium,"Application Gateways without backend targets.
",https://learn.microsoft.com/azure/application-gateway/overview,2f3a4b5c-6d7e-8f9a-0b1c-2d3e4f5a6b7c
N/A,0,Azure Service,APRL,Microsoft.Network,applicationGateways,MonitoringAndAlerting,Use Health Probes to detect backend availability,High,"Using custom health probes enhances understanding of backend availability and facilitates monitoring of backend services for any impact.
",https://learn.microsoft.com/azure/application-gateway/application-gateway-probe-overview,847a8d88-21c4-bc48-a94e-562206edd767
N/A,0,Azure Service,APRL,Microsoft.Network,applicationGateways,HighAvailability,Plan for backend maintenance by using connection draining,Medium,"Using connection draining for backend maintenance ensures graceful removal of backend pool members during updates or health issues. It's enabled via Backend Setting and applies to all members during rule creation.
",https://learn.microsoft.com/azure/application-gateway/features#connection-draining,10f02bc6-e2e7-004d-a2c2-f9bf9f16b915
N/A,0,Azure Service,APRL,Microsoft.Network,applicationGateways,Scalability,Ensure Autoscale feature has been enabled,Medium,"Azure Application Gateways v2 are always deployed in a highly available fashion with multiple instances by default. Enabling autoscale ensures the service is not reliant on manual intervention for scaling.
",https://learn.microsoft.com/azure/application-gateway/application-gateway-autoscaling-zone-redundant#autoscaling-and-high-availability,823b0cff-05c0-2e4e-a1e7-9965e1cfa16f
N/A,0,Azure Service,APRL,Microsoft.Network,applicationGateways,Scalability,Migrate to Application Gateway v2,High,"Use Application Gateway v2 for built-in features like autoscaling, static VIPs, Azure KeyVault integration for better traffic management and performance, unless v1 is necessary.
",https://learn.microsoft.com/azure/application-gateway/overview-v2,7893f0b3-8622-1d47-beed-4b50a19f7895
N/A,0,Azure Service,APRL,Microsoft.Network,applicationGateways,HighAvailability,Deploy Application Gateway in a zone-redundant configuration,High,"Deploying Application Gateway in a zone-aware configuration ensures continued customer access to services even if a specific zone goes down, as services in other zones remain available.
",https://learn.microsoft.com/azure/well-architected/services/networking/azure-application-gateway#reliability,c9c00f2a-3888-714b-a72b-b4c9e8fcffb2
N/A,0,Azure Service,APRL,Microsoft.Dashboard,grafana,HighAvailability,Enable zone redundancy in Managed Grafana,Medium,"Managed Grafana Standard tier is hosted on a dedicated set of VMs to provide redundancy. With zone redundancy enabled, VMs are spread across availability zones (AZ). Related resources are also configured for AZ. Zone redundancy can only be enabled when creating the Azure Managed Grafana instance.
",https://learn.microsoft.com/Azure/managed-grafana/how-to-enable-zone-redundancy,6cd57b65-ef84-4088-9ada-c0d8de74c2f7
N/A,0,Azure Service,AZQR,Microsoft.Dashboard,grafana,Security,Azure Managed Grafana should disable public network access,High,"Azure Managed Grafana should have public network access disabled
to improve security. Use private endpoints or other secure connectivity methods
instead.
",https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-synapse-analytics-security-baseline?toc=%2Fazure%2Fsynapse-analytics%2Ftoc.json,amg-004
N/A,0,Azure Service,AZQR,Microsoft.Dashboard,grafana,HighAvailability,Azure Managed Grafana should have availability zones enabled,High,"Azure Managed Grafana should have zone redundancy enabled to ensure
high availability. Zone redundancy provides automatic replication across availability
zones for better resilience.
",https://learn.microsoft.com/en-us/azure/managed-grafana/high-availability,amg-005
false,1,Azure Service,AZQR,Microsoft.ApiManagement,service,Security,APIM should have private endpoints enabled,High,APIM should have private endpoints enabled,https://learn.microsoft.com/azure/api-management/private-endpoint,apim-004
false,1,Azure Service,APRL,Microsoft.ApiManagement,service,HighAvailability,Migrate API Management services to Premium SKU to support Availability Zones,High,"Upgrading the API Management instance to the Premium SKU adds support for Availability Zones, enhancing availability and resilience by distributing services across physically separate locations within Azure regions.
",https://learn.microsoft.com/azure/api-management/upgrade-and-scale#change-your-api-management-service-tier,baf3bfc0-32a2-4c0c-926d-c9bf0b49808e
true,0,Azure Service,AZQR,Microsoft.ApiManagement,service,Security,APIM should only accept a minimum of TLS 1.2,High,APIM should only accept a minimum of TLS 1.2,https://learn.microsoft.com/azure/api-management/api-management-howto-manage-protocols-ciphers,apim-009
true,0,Azure Service,AZQR,Microsoft.ApiManagement,service,Security,APIM should should not accept weak or deprecated ciphers.,High,APIM should should not accept weak or deprecated ciphers.,https://learn.microsoft.com/azure/api-management/api-management-howto-manage-protocols-ciphers,apim-010
true,0,Azure Service,AZQR,Microsoft.ApiManagement,service,Security,APIM should use Managed Identities,Medium,APIM should use Managed Identities,https://learn.microsoft.com/azure/api-management/api-management-howto-use-managed-service-identity,apim-008
true,0,Azure Service,APRL,Microsoft.ApiManagement,service,HighAvailability,Azure API Management platform version should be stv2,High,"stv1 instances were deprecated on August 31, 2024. If not migrated to stv2 by then, auto-migration will occur. In some cases, due to technical limitations, services may be shut down in March 2025.
",https://learn.microsoft.com/azure/api-management/breaking-changes/stv1-platform-retirement-august-2024,e35cf148-8eee-49d1-a1c9-956160f99e0b
true,0,Azure Service,APRL,Microsoft.ApiManagement,service,HighAvailability,Enable Availability Zones on Premium API Management instances,High,"Zone redundancy for APIM instances ensures the gateway and control plane (Management API, developer portal, Git configuration) are replicated across datacenters in physically separated zones, boosting resilience to zone failures.
",https://learn.microsoft.com/azure/api-management/high-availability#availability-zones,740f2c1c-8857-4648-80eb-47d2c56d5a50
false,1,Azure Service,AZQR,microsoft.apimanagement,service,MonitoringAndAlerting,APIM should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-use-azure-monitor#resource-logs,apim-001
true,0,Azure Service,AZQR,Microsoft.ApiManagement,service,Security,APIM: Renew expiring certificates,High,APIM: Renew expiring certificates,https://learn.microsoft.com/azure/api-management/configure-custom-domain,apim-011
N/A,0,Azure Service,AZQR,Microsoft.Fabric,capacities,Governance,Fabric Capacity should use Fabric (F) SKU tier for production workloads,Medium,"Fabric Capacity should use the Fabric (F) SKU tier for production
workloads to ensure proper performance and support levels.
",https://learn.microsoft.com/en-us/fabric/enterprise/licenses,fabric-006
N/A,0,Azure Service,AZQR,Microsoft.Fabric,capacities,OtherBestPractices,Fabric Capacity should be in Active state,Medium,"Fabric Capacity should be in Active state to be available for
use. Paused capacities are not available for processing workloads.
",https://learn.microsoft.com/en-us/fabric/enterprise/pause-resume,fabric-004
N/A,0,Azure Service,AZQR,Microsoft.Fabric,capacities,Security,Fabric Capacity should have administrators configured,Medium,"Fabric Capacity should have administrators configured to ensure
proper management and security oversight of the capacity.
",https://learn.microsoft.com/en-us/fabric/admin/capacity-settings,fabric-005
N/A,0,Azure Service,APRL,Microsoft.VirtualMachineImages,imageTemplates,DisasterRecovery,Replicate your Image Templates to a secondary region,Low,"The Azure Image Builder service lacks availability zones support. Replicating Image Templates to a secondary region will enable the build of new images in secondary region.
",https://learn.microsoft.com/azure/reliability/reliability-image-builder?toc=%2Fazure%2Fvirtual-machines%2Ftoc.json&bc=%2Fazure%2Fvirtual-machines%2Fbreadcrumb%2Ftoc.json&tabs=graph#disaster-recovery,21fb841b-ba70-1f4e-a460-1f72fb41aa51
N/A,0,Azure Service,APRL,Oracle.Database,cloudVmClusters,OtherBestPractices,Ensure ODAA clusters are in Available state under normal operations,High,"ODAA Vm Clusters can be in a number of states during their lifecycle (Available, Failed, Maintenance In Progress, Provisioning, Terminated, Terminating and Updating).
Ensure that the ODAA clusters are in Available state under normal operations.
",https://learn.microsoft.com/rest/api/oracle/cloud-vm-clusters/get?view=rest-oracle-2023-09-01&tabs=HTTP#cloudvmclusterlifecyclestate,4b33324a-70cd-4bac-bdae-da4c382c436b
N/A,0,Azure Service,APRL,Microsoft.Network,privateEndpoints,HighAvailability,Resolve issues with Private Endpoints in non Succeeded connection state,Medium,"A private endpoint has two custom properties, static IP address and the network interface name, which must be set at creation. If not in Succeeded state, there may be issues with the endpoint or associated resource.
",https://learn.microsoft.com/azure/private-link/manage-private-endpoint?tabs=manage-private-link-powershell#private-endpoint-connections,b89c9acc-0aba-fb44-9ff2-3dbfcf97dce7
N/A,0,Azure Service,AOR,Microsoft.Network,privateEndpoints,Governance,Private Endpoints not connected to any resource,Medium,"Private Endpoints not connected to any resource.
",https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview,8f9a0b1c-2d3e-4f5a-6b7c-8d9e0f1a2b3c
N/A,0,Azure Service,AOR,Microsoft.Network,virtualNetworks,Governance,Subnets without Connected Devices or Delegation,Medium,"Subnets without Connected Devices or Delegation.
",https://learn.microsoft.com/azure/virtual-network/virtual-networks-overview,4b5c6d7e-8f9a-0b1c-2d3e-4f5a6b7c8d9e
N/A,0,Azure Service,AZQR,Microsoft.DocumentDB,databaseAccounts,Security,CosmosDB should have private endpoints enabled,High,CosmosDB should have private endpoints enabled,https://learn.microsoft.com/azure/cosmos-db/how-to-configure-private-endpoints,cosmos-004
N/A,0,Azure Service,AZQR,Microsoft.DocumentDB,databaseAccounts,Security,"CosmosDB: disable write operations on metadata resources (databases, containers, throughput) via account keys",High,"CosmosDB: disable write operations on metadata resources (databases, containers, throughput) via account keys",https://learn.microsoft.com/azure/cosmos-db/how-to-setup-rbac,cosmos-009
N/A,0,Azure Service,APRL,Microsoft.DocumentDB,databaseAccounts,DisasterRecovery,Configure continuous backup mode,High,"Cosmos DB's backup is always on, offering protection against data mishaps. Continuous mode allows for self-serve restoration to a pre-mishap point, unlike periodic mode which requires contacting Microsoft support, leading to longer restore times.
",https://learn.microsoft.com/azure/cosmos-db/continuous-backup-restore-introduction,e544520b-8505-7841-9e77-1f1974ee86ec
N/A,0,Azure Service,APRL,Microsoft.DocumentDB,databaseAccounts,HighAvailability,Evaluate multi-region write capability,High,"Multi-region writes enable high availability but require careful consistency and conflict resolution. Using Bounded Staleness is an anti-pattern, as replication lag increases latency and coordination overhead. This setup undermines scalability, impacting performance and availability.
",https://learn.microsoft.com/azure/cosmos-db/distribute-data-globally,9ce78192-74a0-104c-b5bb-9a443f941649
N/A,0,Azure Service,APRL,Microsoft.DocumentDB,databaseAccounts,HighAvailability,Enable availability zones,High,"When availability zones are configured, Azure Cosmos DB intelligently distributes the 4 replicas of your data across all available zones. It ensures that your Azure Cosmos DB can withstand an outage in one availability zone and remain fully operational throughout.
",https://learn.microsoft.com/azure/reliability/reliability-cosmos-db-nosql,921631f6-ed59-49a5-94c1-f0f3ececa580
N/A,0,Azure Service,APRL,Microsoft.DocumentDB,databaseAccounts,DisasterRecovery,Enable service-managed failover for multi-region accounts with single write region,High,"Cosmos DB boasts high uptime and resiliency. Even so, issues may arise. With Service-Managed failover, if a region is down, Cosmos DB automatically switches to the next available region, requiring no user action.
",https://learn.microsoft.com/azure/cosmos-db/how-to-manage-database-account#automatic-failover,9cabded7-a1fc-6e4a-944b-d7dd98ea31a2
N/A,0,Azure Service,APRL,Microsoft.DocumentDB,databaseAccounts,HighAvailability,Configure at least two regions for high availability,High,"Enable a secondary region in Cosmos DB for higher SLA without downtime. Simple as pinning a location on a map. For Strong consistency, configure at least three regions for write availability in case of failure.
",https://learn.microsoft.com/azure/cosmos-db/distribute-data-globally,43663217-a1d3-844b-80ea-571a2ce37c6c
N/A,0,Azure Service,AZQR,Microsoft.DocumentDB,databaseAccounts,Security,CosmosDB should have local authentication disabled,High,CosmosDB should have local authentication disabled,https://learn.microsoft.com/azure/cosmos-db/how-to-setup-rbac,cosmos-008
N/A,0,Azure Service,AZQR,microsoft.documentdb,databaseaccounts,MonitoringAndAlerting,CosmosDB should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/cosmos-db/monitor-resource-logs,cosmos-001
N/A,0,Azure Service,APRL,Microsoft.Network,expressRouteGateways,MonitoringAndAlerting,Monitor health for ExpressRoute gateway,High,"Set up monitoring and alerts for ExpressRoute Gateway. Create alert rule for ensuring promptly response to critical events such as exceeding packets per second, exceeding BGP routes prefixes, Gateway overutilization and high frequency in route changes.
",https://learn.microsoft.com/azure/virtual-wan/monitoring-best-practices#expressroute-gateway,17e8d380-e4b4-41a1-9b37-2e4df9fd5125
N/A,0,Azure Service,APRL,Microsoft.Network,expressRouteGateways,HighAvailability,Avoid using ExpressRoute circuits for VNet to VNet communication,Medium,"Avoid using ExpressRoute circuits for VNet to VNet communication. Use Virtual WAN to connect VNets in different regions. This feature is enabled at the ExpressRoute circuit level but reflected in the Virtual WAN resource.
",https://techcommunity.microsoft.com/t5/azure-networking-blog/customisation-controls-for-connectivity-between-virtual-networks/ba-p/4147722,560a76a7-8f64-4ce3-ad27-d174468861a1
N/A,0,Azure Service,AZQR,Microsoft.Logic,workflows,Security,Logic App should limit access to Http Triggers,High,Logic App should limit access to Http Triggers,https://learn.microsoft.com/azure/logic-apps/logic-apps-securing-a-logic-app,logic-004
N/A,0,Azure Service,AZQR,microsoft.logic,workflows,MonitoringAndAlerting,Logic App should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/logic-apps/monitor-workflows-collect-diagnostic-data,logic-001
N/A,0,Azure Service,AZQR,microsoft.cdn,profiles,MonitoringAndAlerting,Azure FrontDoor should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/frontdoor/standard-premium/how-to-logs,afd-001
N/A,0,Azure Service,APRL,Microsoft.StreamAnalytics,streamingjobs,HighAvailability,Migrate Stream Analytics jobs to StandardV2 SKU,High,"Configure Autoscale to allow your job to dynamically change the allocated number of Streaming Units (SU) based on load, metrics, and/or schedule.
",https://learn.microsoft.com/azure/stream-analytics/stream-analytics-streaming-unit-consumption,5d40d3d4-179d-4cf5-ac24-901210f512e7
N/A,0,Azure Service,APRL,Microsoft.StreamAnalytics,streamingjobs,Scalability,Run jobs in your own dedicated Stream Analytics cluster for increased reliability and security,Medium,"Stream Analytics cluster (dedicated) offers more reliable performance guarantees. All the jobs running on your cluster belong only to you. You can also have access to important features like private endpoints, Auto-Scaling, Vnet Support, etc.
",https://learn.microsoft.com/azure/stream-analytics/cluster-overview,e48a7227-5ec7-463a-b955-ee7cb598ded4
N/A,0,Azure Service,AZQR,Microsoft.ContainerInstance,containerGroups,Security,ContainerInstance should use private IP addresses,High,"Azure Container Instances should use private IP addresses instead
of public IPs for enhanced security and to follow network security best practices.
",https://learn.microsoft.com/en-us/azure/container-instances/container-instances-vnet,ci-004
N/A,0,Azure Service,AZQR,Microsoft.ContainerInstance,containerGroups,HighAvailability,ContainerInstance should have availability zones enabled,High,"Azure Container Instances should have availability zones enabled
to ensure high availability and protect against datacenter failures.
",https://learn.microsoft.com/en-us/azure/container-instances/availability-zones,ci-002
N/A,0,Azure Service,APRL,Microsoft.Compute,disks,OtherBestPractices,Shared disks should only be enabled in clustered servers,Medium,"Azure shared disks let you attach a disk to multiple VMs at once for deploying or migrating clustered applications, suitable only when a disk is shared among VM cluster members.
",https://learn.microsoft.com/azure/virtual-machines/disks-shared,3263a64a-c256-de48-9818-afd3cbc55c2a
N/A,0,Azure Service,APRL,Microsoft.Compute,disks,HighAvailability,Use Azure Disks with Zone Redundant Storage for higher resiliency and availability,Medium,"Azure disks offers a zone-redundant storage (ZRS) option for workloads that need to be resilient to an entire zone being down. Due to the cross-zone data replication, ZRS disks have higher write latency when compared to the locally-redundant option (LRS), so make sure to benchmark your disks.
",https://aka.ms/zrsdisksdoc,fa0cf4f5-0b21-47b7-89a9-ee936f193ce1
N/A,0,Azure Service,AOR,Microsoft.Compute,disks,Governance,Managed Disks with 'Unattached' state,Medium,"Managed Disks with 'Unattached' state.
",https://learn.microsoft.com/en-us/azure/virtual-machines/managed-disks-overview,3c4d5e6f-7a8b-9c0d-1e2f-3a4b5c6d7e8f
N/A,0,Azure Service,AZQR,microsoft.network,loadbalancers,MonitoringAndAlerting,Load Balancer should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/load-balancer/monitor-load-balancer#creating-a-diagnostic-setting,lb-001
N/A,0,Azure Service,APRL,Microsoft.Network,loadBalancers,HighAvailability,Use NAT Gateway instead of Outbound Rules for Production Workloads,Medium,"Outbound rules for Standard Public Load Balancer involve manual port allocation for backend pools, limiting scalability and risk of SNAT port exhaustion. NAT Gateway is recommended for its dynamic scaling and secure internet connectivity.
",https://learn.microsoft.com/azure/architecture/checklist/resiliency-per-service#azure-load-balancer,8d319a05-677b-944f-b9b4-ca0fb42e883c
N/A,0,Azure Service,APRL,Microsoft.Network,loadBalancers,HighAvailability,Ensure Standard Load Balancer is zone-redundant,High,"In regions with Availability Zones, assigning a zone-redundant frontend IP to a Standard Load Balancer ensures continuous traffic distribution even if one availability zone fails, provided other healthy zones and backend instances are available to receive the traffic.
",https://learn.microsoft.com/azure/load-balancer/load-balancer-standard-availability-zones#zone-redundant,621dbc78-3745-4d32-8eac-9e65b27b7512
N/A,0,Azure Service,AOR,Microsoft.Network,loadBalancers,Governance,Load Balancers with empty backend address pools,Medium,"Load Balancers with empty backend address pools.
",https://learn.microsoft.com/en-us/azure/load-balancer/load-balancer-overview,9c0d1e2f-3a4b-5c6d-7e8f-9a0b1c2d3e4f
N/A,0,Azure Service,APRL,Microsoft.Network,loadBalancers,HighAvailability,Use Standard Load Balancer SKU,High,"Selecting Standard SKU Load Balancer enhances reliability through availability zones and zone resiliency, ensuring deployments withstand zone and region failures. Unlike Basic, it supports global load balancing and offers an SLA.
",https://learn.microsoft.com/azure/architecture/framework/services/networking/azure-load-balancer/reliability,38c3bca1-97a1-eb42-8cd3-838b243f35ba
N/A,0,Azure Service,APRL,Microsoft.Network,loadBalancers,HighAvailability,Ensure the Backend Pool contains at least two instances,High,"Deploying Azure Load Balancers with at least two instances in the backend prevents a single point of failure and supports scalability. Pairing with Virtual Machine Scale Sets is advised for optimal scale building.
",https://learn.microsoft.com/azure/architecture/checklist/resiliency-per-service#azure-load-balancer,6d82d042-6d61-ad49-86f0-6a5455398081
N/A,0,Azure Service,AOR,Microsoft.Network,networkSecurityGroups,Governance,Network Security Groups not attached to any network interface or subnet,Medium,"Network Security Groups not attached to any network interface or subnet.
",https://learn.microsoft.com/en-us/azure/virtual-network/ip-services/private-ip-addresses,7a8b9c0d-1e2f-3a4b-5c6d-7e8f9a0b1c2d
N/A,0,Azure Service,APRL,Microsoft.Network,networkSecurityGroups,MonitoringAndAlerting,Monitor changes in Network Security Groups with Azure Monitor,Low,"Create Alerts with Azure Monitor for operations like creating or updating Network Security Group rules to catch unauthorized/undesired changes to resources and spot attempts to bypass firewalls or access resources from the outside.
",https://learn.microsoft.com/azure/azure-monitor/essentials/activity-log?tabs=powershell,8bb4a57b-55e4-d24e-9c19-2679d8bc779f
N/A,0,Azure Service,AZQR,microsoft.network,networksecuritygroups,MonitoringAndAlerting,NSG should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/virtual-network/virtual-network-nsg-manage-log,nsg-001
N/A,0,Azure Service,APRL,Microsoft.Network,vpnGateways,MonitoringAndAlerting,Monitor gateway for Site-to-site v-Hub's VPN gateway,Medium,"Set up monitoring and alerts for v-Hub's VPN Gateway. Create alert rule for ensuring promptly response to critical events such as packet drop counts, BGP status, Gateway over utilization. Mission Critical workloads should use dual ExpressRoutes instead of VPN.
",https://learn.microsoft.com/azure/virtual-wan/monitoring-best-practices#virtual-wan-gateways,f0d4f766-ac19-48c4-b228-4601cc038baa
N/A,0,Azure Service,APRL,Microsoft.Network,azureFirewalls,HighAvailability,Deploy Azure Firewall across multiple availability zones,High,"Azure Firewall offers different SLAs depending on its deployment; in a single availability zone or across multiple, potentially improving reliability and performance.
",https://learn.microsoft.com/azure/architecture/framework/services/networking/azure-firewall,c72b7fee-1fa0-5b4b-98e5-54bcae95bb74
N/A,0,Azure Service,APRL,Microsoft.Network,azureFirewalls,MonitoringAndAlerting,Monitor Azure Firewall metrics,High,"Monitor Azure Firewall for overall health, processed throughput, and outbound SNAT port usage. Get alerted before limits impact services. Consider NAT gateway integration with zonal deployments; note limitations with zone redundant firewalls and secure virtual hub networks.
",https://learn.microsoft.com/azure/azure-monitor/essentials/metrics-supported#microsoftnetworkazurefirewalls,3c8fa7c6-6b78-a24a-a63f-348a7c71acb9
N/A,0,Azure Service,AZQR,microsoft.network,azurefirewalls,MonitoringAndAlerting,Azure Firewall should have diagnostic settings enabled,Low,,https://docs.microsoft.com/en-us/azure/firewall/logs-and-metrics,afw-001
